EpisodeIndex,EpisodeReward,EpisodeSteps,AverageReward,TotalAgentSteps,EpisodeQ0,EvaluationStatistic,BufferSize,CriticLoss,ActorLoss,AlphaLoss,EntropyWeight,QValue
1,-14.566971373788533,50,-14.566971373788533,50,-0.0025615585036575794,,50,,,,,
2,-26.0127854491552,50,-20.289878411471868,100,-0.0025132177397608757,,100,0.4911175072193146,-1.3050254583358765,3.3053536415100098,0.9994001388549805,-0.000928050372749567
3,-14.050900255129749,50,-18.210219026024493,150,-0.0018105884082615376,,150,0.5196450352668762,-1.2994033098220825,3.296812057495117,0.9988006353378296,0.0007921344949863851
4,-35.06895407583669,50,-22.424902788477546,200,-0.0004297085106372833,,200,0.4011647701263428,-1.2997558116912842,3.294449806213379,0.9982014894485474,0.0023078082595020533
5,-25.68352002215562,50,-23.076626235213162,250,0.00041356857400387526,-19.900535049234243,250,0.38366419076919556,-1.3139610290527344,3.3064537048339844,0.9976027607917786,0.0033115134574472904
6,-24.00190085183406,50,-23.230838671316643,300,0.0018691313453018665,,300,0.45798400044441223,-1.2972208261489868,3.2866740226745605,0.9970045685768127,0.005153799895197153
7,-23.714460199238925,50,-23.299927461019823,350,0.0018439965788275003,,350,0.4089123010635376,-1.3072549104690552,3.294389009475708,0.9964067339897156,0.006276906467974186
8,-23.253888827814194,50,-23.294172631869124,400,0.004429417196661234,,400,0.41543400287628174,-1.322777271270752,3.306812286376953,0.9958097338676453,0.008181668817996979
9,-24.080250150679234,50,-23.381514578403582,450,0.004847794771194458,,450,0.3878234028816223,-1.31886887550354,3.3005175590515137,0.995212972164154,0.009374476037919521
10,-11.195426444661829,50,-22.162905765029404,500,0.0049628764390945435,-25.345109929145604,500,0.3687964975833893,-1.2949005365371704,3.274177074432373,0.9946166276931763,0.010552480816841125
11,-8.082666420225156,50,-20.882884006410837,550,0.007085841614753008,,550,0.44983190298080444,-1.3348870277404785,3.311781167984009,0.9940207600593567,0.011743225157260895
12,-20.84808946249722,50,-20.879984461084703,600,0.007998586632311344,,600,0.4668365716934204,-1.297361135482788,3.2714717388153076,0.9934252500534058,0.013335169292986393
13,-22.42677856219217,50,-20.998968622708354,650,0.01028502732515335,,650,0.4875369668006897,-1.3091200590133667,3.2798821926116943,0.9928299188613892,0.015492857433855534
14,-24.312081869694545,50,-21.235619568921656,700,0.011810125783085823,,700,0.3974485397338867,-1.3219929933547974,3.2903826236724854,0.992235004901886,0.01667536236345768
15,-9.081986969510567,50,-20.425377395627585,750,0.010299778543412685,-20.9887445656746,750,0.40299639105796814,-1.3085765838623047,3.2733614444732666,0.9916406869888306,0.019090719521045685
16,-26.996532148182137,50,-20.83607456766224,800,0.014106165617704391,,800,0.4598654508590698,-1.319560170173645,3.28229022026062,0.9910467863082886,0.019957002252340317
17,-34.42525779070405,50,-21.6354382866647,850,0.015334312804043293,,850,0.41793179512023926,-1.327977180480957,3.287407875061035,0.9904535412788391,0.02206972800195217
18,-31.8096712284403,50,-22.20067345009668,900,0.01578451693058014,,900,0.41621461510658264,-1.3592737913131714,3.3162407875061035,0.9898605346679688,0.02334703505039215
19,-36.00586713198765,50,-22.927262591248837,950,0.01706097461283207,,950,0.39597636461257935,-1.3177064657211304,3.2721755504608154,0.9892677664756775,0.024658821523189545
20,-32.8281351111011,50,-23.42230621724145,1000,0.018024159595370293,-27.68524718884825,1000,0.3505995571613312,-1.3371944427490234,3.288177490234375,0.9886755347251892,0.026960114017128944
21,-35.5777794123779,50,-24.472846619170916,1050,0.01724935881793499,,1050,0.3161488175392151,-1.3393304347991943,3.2873470783233643,0.9880837798118591,0.028742576017975807
22,-31.63319091919588,50,-24.753866892672953,1100,0.019414491951465607,,1100,0.32833486795425415,-1.326950192451477,3.2716469764709473,0.9874924421310425,0.030879320576786995
23,-19.17435871729791,50,-25.01003981578136,1150,0.021839682012796402,,1150,0.3260123133659363,-1.3425698280334473,3.2832140922546387,0.986901581287384,0.03374992311000824
24,-13.480661074614146,50,-23.930625165720233,1200,0.02221028320491314,,1200,0.2983408570289612,-1.3368889093399048,3.2748844623565674,0.9863110780715942,0.03521675243973732
25,-16.79296506086504,50,-23.486097417655703,1250,0.024247843772172928,-12.729033829145946,1250,0.37192606925964355,-1.3158221244812012,3.2505295276641846,0.9857211709022522,0.03732471913099289
26,-8.401921453497488,50,-22.706098447738874,1300,0.025543153285980225,,1300,0.4142058789730072,-1.3441859483718872,3.275376558303833,0.9851318597793579,0.03966223821043968
27,-18.315530564640508,50,-22.43615196600895,1350,0.02707192488014698,,1350,0.40261274576187134,-1.3329071998596191,3.2609071731567383,0.9845430850982666,0.0416751354932785
28,-23.018209189163215,50,-22.424367984076397,1400,0.02975206822156906,,1400,0.35418784618377686,-1.3319716453552246,3.256112575531006,0.9839550852775574,0.04435719922184944
29,-21.469375464300683,50,-22.29382424975747,1450,0.030253008008003235,,1450,0.3793896436691284,-1.341779112815857,3.2625534534454346,0.9833676815032959,0.04654798284173012
30,-19.52257251866451,50,-22.71018155345761,1500,0.030757319182157516,-13.090967492965127,1500,0.3611260652542114,-1.3386489152908325,3.2554380893707275,0.9827810525894165,0.04935964569449425
31,-22.66471502199494,50,-23.439283983546098,1550,0.03260866925120354,,1550,0.36801043152809143,-1.3681986331939697,3.28178071975708,0.9821944832801819,0.051393646746873856
32,-36.67096512231302,50,-24.230427766536884,1600,0.03190603852272034,,1600,0.3773246109485626,-1.3585280179977417,3.2681941986083984,0.9816082715988159,0.054136693477630615
33,-33.563193435952286,50,-24.787248510224895,1650,0.03636062145233154,,1650,0.33841800689697266,-1.3597019910812378,3.263765573501587,0.9810221791267395,0.05856657028198242
34,-29.27718702714005,50,-25.03550376809717,1700,0.04053924232721329,,1700,0.33566415309906006,-1.3670636415481567,3.2692723274230957,0.9804361462593079,0.059249456971883774
