EpisodeIndex,EpisodeReward,EpisodeSteps,AverageReward,TotalAgentSteps,EpisodeQ0,EvaluationStatistic,BufferSize,CriticLoss,ActorLoss,AlphaLoss,EntropyWeight,QValue
1,-3.920856328750278,50,-3.920856328750278,23800,-0.6079025268554688,,20000,0.004694309085607529,1.6097019910812378,0.16648833453655243,0.04999999701976776,-1.6761903762817383
2,-21.29715881394702,50,-12.60900757134865,23850,-0.6012720465660095,,20000,0.004023435525596142,1.7347451448440552,0.16533048450946808,0.04999999701976776,-1.8000757694244385
3,-28.084702366310065,50,-17.767572503002455,23900,-2.2017621994018555,,20000,0.004110733047127724,1.839566707611084,0.16546759009361267,0.04999999701976776,-1.905034065246582
4,-9.508901642711837,50,-15.7029047879298,23950,-0.4102550148963928,,20000,0.010624241083860397,1.8283694982528687,0.1647232174873352,0.04999999701976776,-1.8930926322937012
5,-31.707879188157484,50,-18.903899667975338,24000,-2.0899930000305176,-24.645496522720904,20000,0.007208335213363171,1.7103509902954102,0.1652698665857315,0.04999999701976776,-1.7756208181381226
6,-28.011844151264857,50,-20.42189041519026,24050,-2.0206871032714844,,20000,0.010442602448165417,1.8327367305755615,0.16599197685718536,0.04999999701976776,-1.898728609085083
7,-13.979161383601339,50,-19.501500553534697,24100,-2.010745048522949,,20000,0.0031149121932685375,1.873109221458435,0.16588173806667328,0.04999999701976776,-1.938990831375122
8,-19.889891258418057,50,-19.550049391645118,24150,-1.9896057844161987,,20000,0.008954917080700397,1.816365361213684,0.1673775613307953,0.04999999701976776,-1.8837428092956543
9,-23.193831691659035,50,-19.954914091646664,24200,-2.272799491882324,,20000,0.009502947330474854,1.855292797088623,0.16551753878593445,0.04999999701976776,-1.9208104610443115
10,-33.63615440457548,50,-21.323038122939543,24250,-1.9228003025054932,-30.17902927603317,20000,0.00895608589053154,1.968274712562561,0.16688929498195648,0.04999999701976776,-2.0351643562316895
11,-10.265436507920061,50,-20.31780161248323,24300,-1.0055491924285889,,20000,0.01027553528547287,1.8229002952575684,0.16488011181354523,0.04999999701976776,-1.8877803087234497
12,-25.16802435288585,50,-20.721986840850114,24350,-2.128706455230713,,20000,0.006340349558740854,2.016543388366699,0.16721151769161224,0.04999999701976776,-2.083754777908325
13,-29.483183844122465,50,-21.395925071871066,24400,-1.1586556434631348,,20000,0.006868242286145687,1.777505874633789,0.1674347221851349,0.04999999701976776,-1.844940423965454
14,-33.775028340541084,50,-22.280146733918922,24450,-1.7509280443191528,,20000,0.008015206083655357,1.8561675548553467,0.16568636894226074,0.04999999701976776,-1.921854019165039
